mene,link
"A gente vai viver!...A gente vai morrer!"
"nhenhenhe Ah, seboso","https://br.pinterest.com/pin/658651514248227397/"
"ja fazem 84 anos","https://www.pinterest.pt/pin/635570566156077083/"
"um pouco mais","https://cdn.dicionariopopular.com/imagens/um-pouco-mais-1-copiar-0-cke.jpg"
"gnt como a gnt nao se apaixona, fecha negocio","https://www.youtube.com/watch?v=T5NctLsxzyw"
